Program_Combo,ID,Count
"A25800A - Accounting and Finance/Accounting, C25800C3 - Accounting and Finance/Computerized Accounting Certificate","['2747055', '2955318']",2
"A25800A - Accounting and Finance/Accounting, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate","['2805648', '2819126']",2
"A10300H - A10300H (PTA), A1030N - Associate in General Education-Nursing","['2779086', '2989137']",2
"A25800F - Accounting and Finance/Financial Services, C25800C7 - Accounting and Finance/Consumer Financial Services Found Cer, C25800C8 - Accounting and Finance/Business Financial Services Cert","['2694550', '2843941']",2
"A10100 - Associate in Arts, A55150 - Culinary Arts, C55150C3 - Culinary Arts/Demi-Chef Certificate, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate","['2994103', '3005754']",2
"A10300 - Associate in General Education, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert","['2858801', '2991298']",2
"A10400 - Associate in Science, A45260 - Dental Hygiene","['2886038', '2951081']",2
"A30100 - Graphic Design, C30100C2 - Graphic Design/Graphic Design Basics Certificate, C30100C4 - Graphic DesignAdobe Applications Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate","['2940795', '2981614']",2
"A30100 - Graphic Design, C30100C5 - Graphic Design/Digital Illustration Certificate","['2937613', '2946407']",2
"A10100 - Associate in Arts, A45730 - Speech-Language Pathology Assistant","['1001253', '2946900']",2
"A15240 - Horticulture Technology, C15240C3 - Horticulture Technology/Viticulture Certificate","['2499943', '2900994']",2
"A30200 - Gunsmithing, C30200C1 - Gunsmithing/Basic Gunsmithing Skills Certificate","['2752925', '330830']",2
"A35100 - Air Conditioning, Heating & Refrigeration Technology, A35130 - Electrical Systems Technology","['1490810', '2977552']",2
"A10100 - Associate in Arts, A45720 - Respiratory Therapy","['2895364', '2931111']",2
"A10400 - Associate in Science, A45110 - Associate Degree Nursing","['2840420', '2995429']",2
"A35100 - Air Conditioning, Heating & Refrigeration Technology, A35140 - Building Construction Technology, C35100 - Basic A/C, Heating & Refrigeration, C35140C3 - Building Construction Technology/Intro to Bldg Const Cert","['2734172', '2981574']",2
"A10300H - A10300H (PHARM), A25310M - Medical Office Administration/Medical Office Professional","['2982357', '3005348']",2
"A10300H - A10300H (SONOGRAPHY), A25380 - Paralegal Technology","['2866499', '2873238']",2
"A1030N - Associate in General Education-Nursing, A25800F - Accounting and Finance/Financial Services","['2949739', '2975181']",2
"A10700 - Associate in Fine Arts in Music, A25190 - Entertainment Technologies","['2594586', '2862741']",2
"A35100 - Air Conditioning, Heating & Refrigeration Technology, D50420 - Welding Technology","['2824524', '621040']",2
"A35130 - Electrical Systems Technology, A35140 - Building Construction Technology, C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C35140C3 - Building Construction Technology/Intro to Bldg Const Cert","['185619', '3007510']",2
"A35130 - Electrical Systems Technology, A50240 - Industrial Systems Technology, C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C50240C1 - Industrial Systems Technology/Electrical PLC App Cert, C50240C2 - Industrial Systems Technology/Mechanical Maintenance Cert","['2553331', '2823429']",2
"A10300 - Associate in General Education, A60160 - Automotive Systems Technology, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert","['2851802', '2868899']",2
"A25120M - Business Administration /Marketing, C25120C14 - Business Administration /Sales and Customer Service Cert","['2596913', '2942167']",2
"A10300 - Associate in General Education, A60160 - Automotive Systems Technology, C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert","['2986128', '2999114']",2
"A35130 - Electrical Systems Technology, C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology","['3007416', '3010919']",2
"A25120H - Business Administration /Human Resources Management, A25200G - Healthcare Management Technology/General Healthcare Mgt Tech, C25120C10 - Business Administration /Business Foundations Certificate","['2883044', '3011179']",2
"A35130 - Electrical Systems Technology, C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35180 - Carpentry (Diploma)","['1346393', '443449']",2
"A10300 - Associate in General Education, A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate","['2834404', '2972072']",2
"A35140 - Building Construction Technology, A40100 - Architectural Technology, C40100C1 - Architectural TechnologyArchitectural Engineering Const Cert, C40100C2 - Architectural Technology/Green/Sustainable Arch Cert., C40100C4 - Architectural Technology/Building Info Modeling Tech Cert","['1268385', '2986062']",2
"A35140 - Building Construction Technology, C35100 - Basic A/C, Heating & Refrigeration","['2850487', '3006209']",2
"A25120G - Business Administration /General Business Administration, A25120H - Business Administration /Human Resources Management, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert","['2767612', '2773760']",2
"A25120G - Business Administration /General Business Administration, A25120H - Business Administration /Human Resources Management, C25120C11 - Business Administration/Small Business Operations Cert, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert","['2490315', '2954895']",2
"A1030N - Associate in General Education-Nursing, A25590S - Information Technology/Systems Security & Analysis","['2953018', '2963791']",2
"A35140 - Building Construction Technology, C35140C3 - Building Construction Technology/Intro to Bldg Const Cert, C40100C1 - Architectural TechnologyArchitectural Engineering Const Cert","['2944389', '2953180']",2
"A35140 - Building Construction Technology, C35140C3 - Building Construction Technology/Intro to Bldg Const Cert, C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology","['2912147', '2933281']",2
"A35140 - Building Construction Technology, C35180C1 - Carpentry/General Contractor's Lic Prep Certificate","['2962038', '2974734']",2
"A35140 - Building Construction Technology, D35180 - Carpentry (Diploma)","['2907320', '921811']",2
"A10300 - Associate in General Education, A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool","['2947826', '2970520']",2
"A10100 - Associate in Arts, A40100 - Architectural Technology, C40100C1 - Architectural TechnologyArchitectural Engineering Const Cert, C40100C2 - Architectural Technology/Green/Sustainable Arch Cert., C40100C4 - Architectural Technology/Building Info Modeling Tech Cert","['2974653', '3000347']",2
"A40100 - Architectural Technology, C40100C2 - Architectural Technology/Green/Sustainable Arch Cert.","['298225', '888229']",2
"A10300 - Associate in General Education, A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat","['2833108', '76780']",2
"A10100 - Associate in Arts, A40100 - Architectural Technology","['2918237', '2988669']",2
"A10100 - Associate in Arts, A35140 - Building Construction Technology","['2962613', '2962804']",2
"A10300 - Associate in General Education, A55220G - Early Childhood Education/General Early Childhood Education","['2965961', '809283']",2
"A25120G - Business Administration /General Business Administration, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert","['2919724', '2930890']",2
"A10100 - Associate in Arts, A35130 - Electrical Systems Technology","['2608149', '2902013']",2
"A10300H - A10300H (MED LAB TECH), A25200G - Healthcare Management Technology/General Healthcare Mgt Tech","['2959917', '483103']",2
"A50240 - Industrial Systems Technology, C50240C1 - Industrial Systems Technology/Electrical PLC App Cert, C50240C2 - Industrial Systems Technology/Mechanical Maintenance Cert, C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology","['2987361', '884942']",2
"A10300FSU - Associate in General Education/Criminal Justice FSU, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","['2857874', '2947543']",2
"A55130 - Baking and Pastry Arts, A55150 - Culinary Arts, C55150C3 - Culinary Arts/Demi-Chef Certificate, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate","['2649422', '2991461']",2
"A55130 - Baking and Pastry Arts, A55150 - Culinary Arts, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate","['2755838', '2878605']",2
"A55130 - Baking and Pastry Arts, C25110C2 - Hospitality Management/Event Planning Certificate","['2521402', '2732180']",2
"A55140 - Cosmetology, A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat","['2947883', '2971556']",2
"A55140 - Cosmetology, C55170 - Natural Hai Care Certificate","['2964421', '3003758']",2
"A10300H - A10300H (MED LAB TECH), A10400 - Associate in Science","['2541993', '2897891']",2
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate","['2709358', '2821159']",2
"A10100 - Associate in Arts, A25800F - Accounting and Finance/Financial Services","['2969054', '3002289']",2
"A10100 - Associate in Arts, A25800A - Accounting and Finance/Accounting, C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate, C25800C6 - Accounting and Finance/Accounting Foundations Certificate","['2786768', '2988449']",2
"A10100 - Associate in Arts, A25800A - Accounting and Finance/Accounting","['2612249', '958315']",2
"A25120O - Business Administration /Operations Management, C25120C16 - Business Administration /Project Leadership Certificate","['2636285', '2967953']",2
"A25120G - Business Administration /General Business Administration, A25200G - Healthcare Management Technology/General Healthcare Mgt Tech, C25120C10 - Business Administration /Business Foundations Certificate","['1570482', '2767079']",2
"A25120O - Business Administration /Operations Management, C25120C23 - Business Administration/Operations Leadership Certificate","['2932655', '2950419']",2
"A10400 - Associate in Science, D45240 - Dental Assisting (Diploma)","['2895987', '2931306']",2
"A55180 - Criminal Justice Technology, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, D55180 - Criminal Justice Technology/Policing Diploma","['3008810', '3011774']",2
"A10100 - Associate in Arts, A25590P - Information Technology/PC Support & Services","['2964900', '3011025']",2
"A10100 - Associate in Arts, A25590D - Information Technology/Digital Media Technology, C25590C30 - Information Technology/Audio and Video Editing Certificate, C25590C4 - Information Technology/Digital Media Basics Certificate","['2991464', '3010983']",2
"A10300HS - Associate in General Education/Human Service Technology, A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate","['2951457', '2980096']",2
"A10400 - Associate in Science, A25490 - Entrepreneurship","['2849914', '2894711']",2
"A25120G - Business Administration /General Business Administration, A25120O - Business Administration /Operations Management, C25120C10 - Business Administration /Business Foundations Certificate, C25120C15 - Business Administration /Total Quality Management Cert, C25120C23 - Business Administration/Operations Leadership Certificate","['2439274', '520269']",2
"A5518C - Criminal Justice Technology Forensic Science, C5518CC2 - Criminal Just Tech Forensic Science/Crime Scene Invest Cert","['2954159', '2978236']",2
"A5518C - Criminal Justice Technology Forensic Science, C5518CC4 - Criminal Justi Tech Forensic Sci/Intro to Forensic Sci Cert","['2966062', '2999251']",2
"A55220B - Early Childhood Education/B-K Licensure Transfer, A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55850 - Early Childhood Administration, C55860 - Early Childhood Preschool","['2902118', '479727']",2
"A10100 - Associate in Arts, A25380 - Paralegal Technology","['2951002', '2974878']",2
"A10300 - Associate in General Education, A55130 - Baking and Pastry Arts","['2476134', '3002908']",2
"A55220B - Early Childhood Education/B-K Licensure Transfer, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool","['2618165', '2959426']",2
"A10300FSU - Associate in General Education/Criminal Justice FSU, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","['2544069', '731873']",2
"A55220B - Early Childhood Education/B-K Licensure Transfer, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55850 - Early Childhood Administration, C55860 - Early Childhood Preschool","['1725007', '2994953']",2
"A25200G - Healthcare Management Technology/General Healthcare Mgt Tech, C25200C1 - Healthcare Management Technology/HC Access Cust Serv Sp Cert, C25200C2 - Healthcare Management Technology/HC Access Financial Sp Cert, C25310C2 - Medical Office Administration/Medical Coding Spec Cert","['2960992', '2962362']",2
"A55220B - Early Childhood Education/B-K Licensure Transfer, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55850 - Early Childhood Administration, C55860 - Early Childhood Preschool","['2489922', '2960833']",2
"A10100 - Associate in Arts, A25310C - Medical Office Administration/Med Billing, Coding, and Audit","['2889490', '3008347']",2
"A55220C - Early Childhood Education/Non_Teaching Licensure Transfer, C55220C2 - Early Childhood Education/Child Care Development Certificate","['105048', '1074345']",2
"A10300 - Associate in General Education, A45700 - Radiography","['2530060', '2814330']",2
"A10300H - A10300H (DH), D45240 - Dental Assisting (Diploma)","['2892878', '2995404']",2
"A10300 - Associate in General Education, A45260 - Dental Hygiene","['2861189', '2920518']",2
"A10300 - Associate in General Education, A45110 - Associate Degree Nursing","['2911296', '2943779']",2
"A25120G - Business Administration /General Business Administration, A25800A - Accounting and Finance/Accounting, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate, C25800C6 - Accounting and Finance/Accounting Foundations Certificate","['2912994', '2987931']",2
"A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55220C7 - Early Childhood Education/Special Education Certificate, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool","['106235', '2932795']",2
"A10400 - Associate in Science, C45340 - Emergency Medical Science Certificate","['2943046', '2948398']",2
"A10300 - Associate in General Education, A30200 - Gunsmithing","['2973030', '2999885']",2
"A10100 - Associate in Arts, A10400E - Associate in Science/Engineering","['2671172', '2962071']",2
"A10300H - A10300H (DH), A25310M - Medical Office Administration/Medical Office Professional","['2958390', '3007769']",2
"A10300H - A10300H (DH), A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert","['2782810', '2887300']",2
"A10300H - A10300H (DH), A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate","['2971725', '3013147']",2
"A10300H - A10300H (SURG), A1030N - Associate in General Education-Nursing","['2953409', '2985374']",2
"A55220G - Early Childhood Education/General Early Childhood Education, C55850 - Early Childhood Administration","['2813819', '2942326']",2
"A25200G - Healthcare Management Technology/General Healthcare Mgt Tech, C25310C3 - Medical Office Administration/Dental Office Spec Certificate","['2635587', '2658868']",2
"A10300H - A10300H (DH), A1030N - Associate in General Education-Nursing","['2914846', '2931937']",2
"A55240 - Fire Protection Technology, C55240C1 - Fire Protection Technology Certificate, C55240C2 - Fire Protection Technology/Fundamentals of Arson Certificate, C55240C3 - Fire Protection Technology/Fire Service Mgmt Certificate","['2747815', '2971295']",2
"A60130 - Collision Repair and Refinishing Technology, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert.","['2960232', '2966594']",2
"A60130 - Collision Repair and Refinishing Technology, C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C5 - Basic Collision Repair & Refinishing Technology Certificate","['2651927', '2987100']",2
"A1030N - Associate in General Education-Nursing, A45720 - Respiratory Therapy","['2814773', '2968103']",2
"A55460 - Emergency Management, C55460C1 - Emergency Management Certificate, C55460C2 - Emergency Management/Incident Management Certificate, C55460C3 - Emergency Management/Disaster Management Certificate","['2845451', '2957489']",2
"A55460 - Emergency Management, C55460C2 - Emergency Management/Incident Management Certificate","['2858982', '2899971']",2
"A10300 - Associate in General Education, A25590C - Information Technology/Computer Programming & Development","['2769365', '2912306']",2
"A25120G - Business Administration /General Business Administration, A25490 - Entrepreneurship, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert","['2509189', '2956406']",2
"A25310C - Medical Office Administration/Med Billing, Coding, and Audit, A25310E - Medical Office Administration/Elec Health Records Specialist, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert","['2779810', '2855641']",2
"A10100 - Associate in Arts, A10300H - A10300H (MED LAB TECH)","['2485174', '3000994']",2
"A10300 - Associate in General Education, A10600 - Associate in Fine Arts in Visual Arts","['110639', '2832954']",2
"A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C3 - Medical Office Administration/Dental Office Spec Certificate, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert","['2614601', '2987693']",2
"A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert","['2658806', '2791480']",2
"A10100 - Associate in Arts, A10300H - A10300H (SLPA)","['2828349', '2835175']",2
"A10300 - Associate in General Education, A1030N - Associate in General Education-Nursing, A45110 - Associate Degree Nursing","['2636488', '2695597']",2
"A1030N - Associate in General Education-Nursing, A25310M - Medical Office Administration/Medical Office Professional","['2807218', '2973090']",2
"A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert","['2860421', '2972695']",2
"A55460 - Emergency Management, C55460C3 - Emergency Management/Disaster Management Certificate","['2945334', '2966858']",2
"A1030N - Associate in General Education-Nursing, A25310E - Medical Office Administration/Elec Health Records Specialist, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert","['2964310', '2981370']",2
"A60130 - Collision Repair and Refinishing Technology, A60160 - Automotive Systems Technology, C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate","['2838439', '2956373']",2
"A10300FSU - Associate in General Education/Criminal Justice FSU, A5518C - Criminal Justice Technology Forensic Science, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","['2970303', '2974260']",2
"A10300FSU - Associate in General Education/Criminal Justice FSU, A55180 - Criminal Justice Technology, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","['2825084', '2908937']",2
"A60130 - Collision Repair and Refinishing Technology, C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert","['2946290', '2960539']",2
"A25310E - Medical Office Administration/Elec Health Records Specialist, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert","['2751109', '2926257']",2
"A35100 - Air Conditioning, Heating & Refrigeration Technology, A35130 - Electrical Systems Technology, C35100 - Basic A/C, Heating & Refrigeration","['2552485', '2980193']",2
"A10300FSU - Associate in General Education/Criminal Justice FSU, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert",['2890141'],1
"A10300FSU - Associate in General Education/Criminal Justice FSU, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C5518CC1 - Criminal Justice Technology Forensic Science Certificate",['2953896'],1
"A10300FSU - Associate in General Education/Criminal Justice FSU, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C5518CC1 - Criminal Justice Technology Forensic Science Certificate",['2667620'],1
"A10300FSU - Associate in General Education/Criminal Justice FSU, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert",['2897790'],1
"A10300FSU - Associate in General Education/Criminal Justice FSU, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C55180C6 - Criminal Justice Technology/Principles of Corrections Cert, C55180C8 - Criminal Justice Technology/Private Invest/Loss Prevent Cert, C55180C9 - Criminal Justice Technology/Homeland Security Certificate",['2658720'],1
"A10300FSU - Associate in General Education/Criminal Justice FSU, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C55180C6 - Criminal Justice Technology/Principles of Corrections Cert",['2946103'],1
"A10300FSU - Associate in General Education/Criminal Justice FSU, C5518CC1 - Criminal Justice Technology Forensic Science Certificate",['2503346'],1
"A10300H - A10300H (CSP), A1030N - Associate in General Education-Nursing",['2740181'],1
"A10300H - A10300H (CSP), A10400 - Associate in Science",['2756207'],1
"A10300H - A10300H (CSP), A25200G - Healthcare Management Technology/General Healthcare Mgt Tech",['2998575'],1
"A10300H - A10300H (CSP), A25310C - Medical Office Administration/Med Billing, Coding, and Audit",['2670318'],1
"A10300H - A10300H (CSP), A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25310C2 - Medical Office Administration/Medical Coding Spec Cert",['2996314'],1
"A10300H - A10300H (CSP), A25380 - Paralegal Technology",['2672731'],1
"A10300H - A10300H (CSP), A25620D - Supply Chain Management/Distribution Management, C25620C1 - Supply Chain Management/Logistics & Distributions Mgmt Cert, C45180 - Central Sterile Processing (Certificate)",['2868717'],1
"A10300H - A10300H (CSP), A30100 - Graphic Design, C25590C22 - Information Technology/MS Office Spec Excel & Access Cert, C30100C1 - Graphic Design/Digital Graphic Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate",['2969921'],1
"A10300H - A10300H (DA), A1030N - Associate in General Education-Nursing",['2951255'],1
"A10300H - A10300H (DA), A10400 - Associate in Science",['255803'],1
"A10300H - A10300H (DA), A25110 - Hospitality Management, C25110C2 - Hospitality Management/Event Planning Certificate, C25110C3 - Hospitality Management/Hotel & Lodging Mgt Certificate, C25110C4 - Hospitality Management/Restaurant Management Certificate",['2947608'],1
"A10300H - A10300H (DA), A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C3 - Medical Office Administration/Dental Office Spec Certificate, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert",['2997614'],1
"A10300H - A10300H (DA), A25310M - Medical Office Administration/Medical Office Professional, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert",['2980565'],1
"A10300H - A10300H (DA), A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat",['2991297'],1
"A10300H - A10300H (DA), D25310 - Medical Office Administration/Admin Clinical Assist Diploma",['2936097'],1
"A10300H - A10300H (DH), A10300HS - Associate in General Education/Human Service Technology",['2740701'],1
"A10300H - A10300H (DH), A1030N - Associate in General Education-Nursing, C25310C3 - Medical Office Administration/Dental Office Spec Certificate",['2952502'],1
"A10300H - A10300H (DH), A10700 - Associate in Fine Arts in Music",['2979672'],1
"A10300H - A10300H (DH), A25310C - Medical Office Administration/Med Billing, Coding, and Audit",['2503273'],1
"A10300H - A10300H (DH), A25490 - Entrepreneurship",['2952765'],1
"A10300H - A10300H (DH), A25590S - Information Technology/Systems Security & Analysis, C25590C21 - Information Technology/Network Defense Spec Certificate",['2892950'],1
"A10300H - A10300H (DH), A55150 - Culinary Arts, C55150C3 - Culinary Arts/Demi-Chef Certificate, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate",['2954474'],1
"A10300H - A10300H (DH), A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat",['2706439'],1
"A10300H - A10300H (DH), A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool",['2959859'],1
"A10300H - A10300H (DH), C25310C3 - Medical Office Administration/Dental Office Spec Certificate",['2993467'],1
"A10300H - A10300H (DH), C55140C1 - Cosmetology Certificate",['2772829'],1
"A10300H - A10300H (EMS), A10400 - Associate in Science",['2706356'],1
"A10300H - A10300H (EMS), A10400E - Associate in Science/Engineering",['2848339'],1
"A10300H - A10300H (EMS), A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert",['444916'],1
"A10300H - A10300H (EMS), A55460 - Emergency Management, C55460C1 - Emergency Management Certificate",['2810166'],1
"A10300H - A10300H (LPN), A45110 - Associate Degree Nursing",['2925569'],1
"A10300H - A10300H (MED LAB TECH), A1030N - Associate in General Education-Nursing",['2487612'],1
"A10300H - A10300H (PHARM), A1030N - Associate in General Education-Nursing",['2994032'],1
"A10300H - A10300H (PHARM), A10400 - Associate in Science",['2998851'],1
"A10300H - A10300H (PHARM), A25310C - Medical Office Administration/Med Billing, Coding, and Audit, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert",['2919561'],1
"A10300H - A10300H (PHARM), A25830 - Leadership Studies",['77730'],1
"A10300H - A10300H (PHARM), C25120C10 - Business Administration /Business Foundations Certificate",['3013764'],1
"A10300H - A10300H (PHARM), C35300C1 - Plumbing (Diploma)/Basic Plumbing Certificate, D35300 - Plumbing (Diploma)",['2971953'],1
"A10300H - A10300H (PTA), A10300HS - Associate in General Education/Human Service Technology",['3003476'],1
"A10300H - A10300H (PTA), A1040T - Teacher Preparation",['2940756'],1
